"ticker","compName","industry","year","avgPrc","avgShr","avgVol","avgRet","bid","ask","bidLo","askHi","avgRev","avgMkVal","avgShares","ceoName","ceoStart","ceoEnd","ceoComp1","ceoComp2","ceoSalPctChg","ceoShares","ceoGender","left","joined","ceoChg"
"AAL","AMERICAN AIRLINES GROUP INC",481111,2013,25.25,260000,2221175,NA,25.23,25.24,24.6,26.61,16183,2677.469925,713687741,"William Douglas Parker","12/09/2013",NA,17661.13,17661.13,NA,1362.957,"MALE",NA,"2013",NA
"AAL","AMERICAN AIRLINES GROUP INC",481111,2014,40.1659166666667,660735.583333333,2603845.58333333,0.0712840833333333,38.865,38.88,25.36,53.63,26621.5,29398.73595,779989026,"William Douglas Parker","12/09/2013",NA,12301.976,18975.528,1525.896,1661.386,"MALE",NA,"2013",NA
"AAL","AMERICAN AIRLINES GROUP INC",481111,2015,44.0075,668403.083333333,2286236.83333333,-0.01586375,42.36,42.37,37.5,55.76,25707.75,28753.605825,726452435.75,"William Douglas Parker","12/09/2013",NA,11418.547,40613.399,-66.341,1352.428,"MALE",NA,"2013",NA
"AAL","AMERICAN AIRLINES GROUP INC",481111,2016,38.1708333333333,552442.833333333,1925517.83333333,0.0140545,37.79,37.8,25.27,49.64,24951,20479.08435,577116541.5,"William Douglas Parker","12/09/2013",NA,140.763,22447.381,-100,1541.37,"MALE",NA,"2013",NA
"AAL","AMERICAN AIRLINES GROUP INC",481111,2017,47.1891666666667,488880.166666667,1228484.33333333,0.011362,47.15,47.16,40.35,54.22,26375,23261.3145,367873760.25,"William Douglas Parker","12/09/2013",NA,18115.486,18474.586,0,1910.343,"MALE",NA,"2013",NA
"AAL","AMERICAN AIRLINES GROUP INC",481111,2018,42.805,464682.916666667,1431844.08333333,-0.0339740833333333,40.89,40.9,29.72,58.47,27647.25,18897.84075,429344592,"William Douglas Parker","12/09/2013",NA,11999.517,11999.517,0,2108.271,"MALE",NA,"2013",NA
"AAL","AMERICAN AIRLINES GROUP INC",481111,2019,30.7041666666667,443475.916666667,1467989.83333333,-0.00304241666666667,30.285,30.295,24.45,36.93,28337.75,13180.74,439419901,"William Douglas Parker","12/09/2013",NA,11571.714,11571.714,0,2522.151,"MALE",NA,"2013",NA
"AAL","AMERICAN AIRLINES GROUP INC",481111,2020,14.275,473593.083333333,14364720.1666667,-0.0297968333333333,12.665,12.675,9.04,30.47,12324.5,6963.32555,4283526158.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAN","AARONS INC",443111,2009,23.2263888888889,27092.3888888889,83696.5555555556,0.00617238888888889,25.38,25.585,19.47,34.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAN","AARONS INC",443111,2010,17.5939130434783,40139.2083333333,72839.7083333333,0.0235076086956522,18.86,18.88,-24.025,35.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAN","AARONS INC",443111,2011,25.8475,79042.4166666667,111199,0.02631075,26.425,26.445,19.19,29.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAN","AARONS INC",443111,2012,28.1083333333333,75864,102904.5,0.00643291666666667,28.105,28.12,24.83,31.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAN","AARONS INC",443141,2012,28.1083333333333,75864,102904.5,0.00643291666666667,28.105,28.12,24.83,31.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAN","AARONS INC",443141,2013,28.3558333333333,75873.25,113154.5,0.003969,28.495,28.505,26.68,30.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAN","AARONS INC",443141,2014,28.82,72587.5833333333,198290.833333333,0.00981075,28.915,28.925,23.27,35.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAN","AARONS INC",443141,2015,31.4241666666667,72555,149682.166666667,-0.0183445,32.825,32.835,21.74,40.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAN","AARONS INC",443141,2016,25.31,72495.6666666667,152483.083333333,0.0330245,24.895,24.905,20.33,33.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAN","AARONS INC",443141,2017,37.3225,70974.75,176696.833333333,0.0237995833333333,37.265,37.275,26.92,47.54,NA,NA,NA,"Douglas A. Lindsay","11/30/2020",NA,1262.08,1262.08,NA,NA,"MALE",NA,"2020",NA
"AAN","AARONS INC",443141,2018,45.1808333333333,69662.6666666667,144041.75,0.00855275,44.82,44.83,37.59,55.45,1794.716,NA,NA,"Douglas A. Lindsay","11/30/2020",NA,1220.133,1220.133,16.923,NA,"MALE",NA,"2020",NA
"AAN","AARONS HOLDINGS CO INC",443141,2020,44.5466666666667,64472.3333333333,195391.916666667,0.0390347272727273,48.79,48.81,15,66.33,1519.833,648.5268,32329086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAN","AARONS CO INC",532490,2020,44.5466666666667,64472.3333333333,195391.916666667,0.0390347272727273,48.79,48.81,15,66.33,1519.833,648.5268,32329086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAOI","APPLIED OPTOELECTRONICS INC",334413,2013,12.72,12620.25,16570.5,0.148734666666667,12.625,12.975,9.96,15.81,45.33375,157.9132,3332432,"Chih-Hsiang Lin","02/01/1997",NA,360.035,360.035,5.599,141.6,"MALE",NA,"1997",NA
"AAOI","APPLIED OPTOELECTRONICS INC",334413,2014,18.5516666666667,14439.5,53414.5833333333,0.00471008333333333,19.6,19.62,9.48,27.42,76.71875,277.887375,15996664.75,"Chih-Hsiang Lin","02/01/1997",NA,531.965,531.965,12.086,441.279,"MALE",NA,"1997",NA
"AAOI","APPLIED OPTOELECTRONICS INC",334413,2015,16.6808333333333,15702,67772.75,0.0475161666666667,17.59,17.61,8.38,22.51,109.2385,267.794725,20315128,"Chih-Hsiang Lin","02/01/1997",NA,703.148,703.148,-2.359,207.617,"MALE",NA,"1997",NA
"AAOI","APPLIED OPTOELECTRONICS INC",334413,2016,16.7091666666667,17186,83939,0.0445898333333333,16.605,16.615,8.49,26.63,148.156,314.596775,25167283.25,"Chih-Hsiang Lin","02/01/1997",NA,808.946,808.946,11.305,198.455,"MALE",NA,"1997",NA
"AAOI","APPLIED OPTOELECTRONICS INC",334413,2017,54.7775,19084,521182.25,0.087675,52.765,52.775,22.24,99.61,248.6555,1059.85215,155938209.25,"Chih-Hsiang Lin","02/01/1997",NA,5407.715,27824.936,10.585,429.704,"MALE",NA,"1997",NA
"AAOI","APPLIED OPTOELECTRONICS INC",334413,2018,30.7591666666667,19641.5,271117.583333333,-0.046882,29.95,29.96,13.84,48.8,173.803,541.022375,81221571.75,"Chih-Hsiang Lin","02/01/1997",NA,4705.496,10319.196,10,505.518,"MALE",NA,"1997",NA
"AAOI","APPLIED OPTOELECTRONICS INC",334413,2019,11.3841666666667,19976.1666666667,146671.416666667,-0.00641558333333333,10.955,10.965,8.5,17.79,120.48375,228.019375,43989501,"Chih-Hsiang Lin","02/01/1997",NA,2152.604,2152.604,4.351,548.498,"MALE",NA,"1997",NA
"AAOI","APPLIED OPTOELECTRONICS INC",334413,2020,10.0775,21702.4166666667,169332.25,-0.00812416666666667,9.795,9.825,5.5,16.36,140.76925,215.838375,50858905.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAON","AAON INC",333411,2008,18.9725,17726.9166666667,24553.6666666667,0.0116994166666667,19.005,19.085,12.92,22.92,213.159333333333,334.7109,7924842,"Norman H. Asbjornson","01/01/1989",NA,361.69,3188.084,4.628,3451.757,"MALE",NA,"1989",NA
"AAON","AAON INC",333411,2009,19.0808333333333,17183,21810.1666666667,-0.00159675,19.485,19.51,14.81,21.97,158.21575,333.33565,6266301.25,"Norman H. Asbjornson","01/01/1989",NA,359.117,359.117,1.629,3454.551103,"MALE",NA,"1989",NA
"AAON","AAON INC",333411,2010,23.7808333333333,16796.3333333333,13341.4166666667,0.0329081666666667,23.795,23.85,18.64,29.265,146.60675,407.13035,3783772,"Norman H. Asbjornson","01/01/1989",NA,369.796,369.796,0,3411.381029,"MALE",NA,"1989",NA
"AAON","AAON INC",333411,2011,24.8691666666667,21248.3333333333,13618.5833333333,0.0155839166666667,22.28,22.29,15.08,33.7,164.485,493.456,4078296.75,"Norman H. Asbjornson","01/01/1989",NA,447.51,447.51,16.695,5126.35021,"MALE",NA,"1989",NA
"AAON","AAON INC",333411,2012,19.6841666666667,24547.4166666667,12867.5,0.00285783333333333,19.895,19.935,17.78,21.87,185.36675,488.356325,3723418.5,"Norman H. Asbjornson","01/01/1989",NA,990.066,990.066,2.861,4903.767988,"MALE",NA,"1989",NA
"AAON","AAON INC",333413,2012,19.6841666666667,24547.4166666667,12867.5,0.00285783333333333,19.895,19.935,17.78,21.87,185.36675,488.356325,3723418.5,"Norman H. Asbjornson","01/01/1989",NA,990.066,990.066,2.861,4903.767988,"MALE",NA,"1989",NA
"AAON","AAON INC",333413,2013,27.525,30611.4166666667,20291.4166666667,0.0734946666666667,27.28,27.3,21.27,34.68,198.45275,908.68105,5855381.75,"Norman H. Asbjornson","01/01/1989",NA,1124.996,1124.996,0,7134.745333,"MALE",NA,"1989",NA
"AAON","AAON INC",333413,2014,24.8775,45616.5833333333,30289.5833333333,0.00762225,25.115,25.13,16.97,34.44,218.24,1097.001675,9231251,"Norman H. Asbjornson","01/01/1989",NA,2358.784,2358.784,26.383,11261.571,"MALE",NA,"1989",NA
"AAON","AAON INC",333413,2015,22.4716666666667,54056.1666666667,31569,0.0057925,22.49,22.515,19.12,25.15,215.9615,1207.748075,9461211.25,"Norman H. Asbjornson","01/01/1989",NA,3505.532,3092.339,6.958,11240.696,"MALE",NA,"1989",NA
"AAON","AAON INC",333413,2016,27.9416666666667,52914.1666666667,31577.25,0.03203725,27.745,27.755,19.49,33.9,237.36225,1551.32015,9470482,"Norman H. Asbjornson","01/01/1989",NA,4492.198,3758.508,0,9775.582,"MALE",NA,"1989",NA
"AAON","AAON INC",333413,2017,35.1375,52567.5833333333,29938.75,0.00951241666666667,35.125,35.175,31.65,38.1,244.9465,1869.83613333333,8826155,"Norman H. Asbjornson","01/01/1989",NA,4430.917,2709.936,0,9815.887,"MALE",NA,"1989",NA
"AAON","AAON INC",333413,2018,36.1125,52265.4166666667,44620,-4.46666666666672e-05,36.575,36.625,29.5,43.83,265.8265,1894.58775,13304890.25,"Norman H. Asbjornson","01/01/1989",NA,2919.441,2599.398,0,9815.161,"MALE",NA,"1989",NA
"AAON","AAON INC",333413,2019,46.7425,52085.1666666667,29106,0.0314134166666667,48.26,48.345,33.77,52.57,290.79325,2497.195825,8720133.25,"Norman H. Asbjornson","01/01/1989",NA,4302.658,2022.292,0,9891.351,"MALE",NA,"1989",NA
"AAON","AAON INC",333415,2019,46.7425,52085.1666666667,29106,0.0314134166666667,48.26,48.345,33.77,52.57,290.79325,2497.195825,8720133.25,"Norman H. Asbjornson","01/01/1989",NA,4302.658,2022.292,0,9891.351,"MALE",NA,"1989",NA
"AAON","AAON INC",333415,2020,56.5391666666667,52169.5833333333,45727.9166666667,0.0276660833333333,55.925,55.98,41.27,67.24,328.241,2994.817025,13772786.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAPL","APPLE INC",334111,2008,138.480833333333,884711.583333333,8520873.5,-0.0538006666666667,139.165,139.265,80.49,194.92999,28531.5,124638.30545,2096252120,"Timothy D. Cook","08/24/2011",NA,27087.31,27087.31,2.692,13.453,"MALE",NA,"2011",NA
"AAPL","APPLE INC",334111,2009,150.3935,896020.916666667,4385390.16666667,0.0799348333333333,152.995,153.010005,78.2,211.64,26611.75,116028.321975,1739204273.5,"Timothy D. Cook","08/24/2011",NA,1641.317,1641.317,11.343,13.741,"MALE",NA,"2011",NA
"AAPL","APPLE INC",334111,2010,259.997750833333,912944.083333333,4637941.5,0.0387885,257.154995,257.235,192.05,325.47,38743,223605.42335,1380133825,"Timothy D. Cook","08/24/2011",NA,59092.572,59092.572,-0.048,13.659,"MALE",NA,"2011",NA
"AAPL","APPLE INC",334111,2011,368.606460833333,926511.25,3834107.16666667,0.02064975,367.199995,367.44,315.32001,422.23999,66594.25,321207.66125,1104716403.5,"Timothy D. Cook","08/24/2011",NA,377996.537,377996.537,12.5,13.754,"MALE",NA,"2011",NA
"AAPL","APPLE INC",334111,2012,583.3381575,936790.75,4075001.75,0.0264585833333333,584.505005,584.58502,411.23001,702.09998,102225.5,528007.206225,1096529579,"Timothy D. Cook","08/24/2011",NA,4174.992,4174.992,50.855,13.817,"MALE",NA,"2011",NA
