"date","fisYr","ticker","compName","totalRev","country","cmnShrTraded","totalMktVal","industry","bidLow","askHigh","holdingPeriodReturn","avgPrc","avgShOut","avgShVol","ceoName","ceoStart","ceoEnd","ceoComp1","ceoComp2","ceoSalPctChg","ceoShares","ceoGender","ceoChg"
2009-12-31,2010,"AAPL","APPLE INC",15683,"USA",1166150580,190982.6184,"3663",188.95,211.64,"0.054134",199.713996666667,902546,4021890,"Timothy D. Cook","08/24/2011",NA,59092.572,59092.572,-0.048,13.659,"MALE",NA
2010-03-31,2010,"AAPL","APPLE INC",29182,"USA",1355319320,213764.46,"3663",208.85001,235.845,"0.148470",210.561,907742,4658448.33333333,"Timothy D. Cook","08/24/2011",NA,59092.572,59092.572,-0.048,13.659,"MALE",NA
2010-06-30,2010,"AAPL","APPLE INC",44882,"USA",1677429790,229768.1275,"3663",243.2,274.07401,"-0.020827",256.5,911119.333333333,5776150.66666667,"Timothy D. Cook","08/24/2011",NA,59092.572,59092.572,-0.048,13.659,"MALE",NA
2010-09-30,2010,"AAPL","APPLE INC",65225,"USA",1321635610,259906.4875,"3663",250.33,292.32001,"0.167215",261.36667,914365.333333333,4572300.33333333,"Timothy D. Cook","08/24/2011",NA,59092.572,59092.572,-0.048,13.659,"MALE",NA
2010-12-31,2011,"AAPL","APPLE INC",26741,"USA",1020303525,297089.0496,"3663",316.39999,325.47,"0.036670",311.563333333333,918549.666666667,3544866.66666667,"Timothy D. Cook","08/24/2011",NA,377996.537,377996.537,12.5,13.754,"MALE",NA
2011-03-31,2011,"AAPL","APPLE INC",51408,"USA",1118968137,322255.8241,"3663",330.01001,360,"-0.013314",347.012503333333,922410,3910192,"Timothy D. Cook","08/24/2011",NA,377996.537,377996.537,12.5,13.754,"MALE",NA
2011-06-30,2011,"AAPL","APPLE INC",79979,"USA",899354002,311133.8657,"3663",315.32001,346.10199,"-0.034960",344.543333333333,925471.333333333,3155795.66666667,"Timothy D. Cook","08/24/2011",NA,377996.537,377996.537,12.5,13.754,"MALE",NA
2011-09-30,2011,"AAPL","APPLE INC",108249,"USA",1380239950,354351.9056,"3663",374.04999,413.45001,"-0.009121",385.543336666667,927819.666666667,4779790,"Timothy D. Cook","08/24/2011",NA,377996.537,377996.537,12.5,13.754,"MALE",NA
2012-12-31,2013,"AAPL","APPLE INC",54512,"USA",1325815798,499695.9844,"3663",509.5892,586.19,"-0.090738",570.924316666667,940119,4547385.33333333,"Timothy D. Cook","08/24/2011",NA,4252.727,4252.727,3.115,87.316,"MALE",NA
2013-09-30,2013,"AAPL","APPLE INC",170910,"USA",827326299,428699.7978,"3663",450.12,506.17001,"-0.021481",472.165333333333,905402.333333333,2881072.33333333,"Timothy D. Cook","08/24/2011",NA,4252.727,4252.727,3.115,87.316,"MALE",NA
2013-12-31,2014,"AAPL","APPLE INC",57594,"USA",714481211,500680.6159,"3663",544.46002,570.09003,"0.008902",546.597353333333,897307.666666667,2482908.33333333,"Timothy D. Cook","08/24/2011",NA,9222.638,9222.638,24.89,950.767,"MALE",NA
2014-03-31,2014,"AAPL","APPLE INC",103240,"USA",701008808,462533.0113,"3663",524.69,544.98999,"0.019953",521.19333,881907.666666667,2364758.66666667,"Timothy D. Cook","08/24/2011",NA,9222.638,9222.638,24.89,950.767,"MALE",NA
2014-06-30,2014,"AAPL","APPLE INC",140672,"USA",4230631302,556573.661,"3663",90.28,647.34998,"0.027662",438.673343333333,2570644.33333333,4295470,"Timothy D. Cook","08/24/2011",NA,9222.638,9222.638,24.89,950.767,"MALE",NA
2014-09-30,2014,"AAPL","APPLE INC",182795,"USA",3478196850,591015.7208,"3663",97.87,103.3,"-0.017073",99.6166666666667,5947298.33333333,11679974,"Timothy D. Cook","08/24/2011",NA,9222.638,9222.638,24.89,950.767,"MALE",NA
2014-12-31,2015,"AAPL","APPLE INC",74599,"USA",3240085550,643120.1292,"3663",106.745,115.93,"-0.071891",112.436666666667,5852033,10863095.6666667,"Timothy D. Cook","08/24/2011",NA,10281.327,10281.327,14.386,1039.598,"MALE",NA
2015-03-31,2015,"AAPL","APPLE INC",132609,"USA",3570897450,717000.2515,"3663",122.24,129.36,"-0.031372",123.350003333333,5824748,11941788.6666667,"Timothy D. Cook","08/24/2011",NA,10281.327,10281.327,14.386,1039.598,"MALE",NA
2015-06-30,2015,"AAPL","APPLE INC",182214,"USA",2816634540,715599.795,"3663",124.53,130.535,"-0.037266",126.951666666667,5743318.66666667,9434578,"Timothy D. Cook","08/24/2011",NA,10281.327,10281.327,14.386,1039.598,"MALE",NA
2015-09-30,2015,"AAPL","APPLE INC",233715,"USA",3849262710,615336.4559,"3663",107.72,116.41,"-0.021816",114.786666666667,5702722,12923681.3333333,"Timothy D. Cook","08/24/2011",NA,10281.327,10281.327,14.386,1039.598,"MALE",NA
